State,Agency Name,Latitude,Longitude,ORI,City,Population,Poverty,Poverty Rate,Violent Crime,Property Crime,Violent Crime(Per 100k),Property Crime(Per 100k),Crime Rate(Per 100k)
FL,Hollywood Police Department,26.010834,-80.17272,FL0060500,Hollywood,152597,18711,12.26,0,0,0.0,0.0,0.0
FL,Gainesville Police Department,29.67574,-82.357221,FL0010100,Gainesville,138741,36080,26.01,1084,4221,781.31,3042.36,3823.67
FL,Miramar Police Department,26.193535,-80.476683,FL0062200,Miramar,134306,11722,8.73,238,1502,177.21,1118.34,1295.55
FL,Coral Springs Police Department,26.264788,-80.26626,FL0062800,Coral Springs,133693,11579,8.66,183,1659,136.88,1240.9,1377.78
FL,Palm Bay Police Department,27.999031,-80.68493,FL0051200,Palm Bay,118709,15517,13.07,428,1378,360.55,1160.82,1521.37
FL,Clearwater Police Department,27.96386,-82.797905,FL0520300,Clearwater,116616,17869,15.32,398,2145,341.29,1839.37,2180.66
FL,Miami Gardens Police Department,25.927366,-80.22583,FL0139700,Miami Gardens,111706,17667,15.82,184,977,164.72,874.62,1039.34
FL,Pompano Beach Police Department,26.193535,-80.476683,FL0060700,Pompano Beach,111423,16832,15.11,0,0,0.0,0.0,0.0
FL,Lakeland Police Department,28.045244,-81.95414,FL0531200,Lakeland,110401,15955,14.45,0,0,0.0,0.0,0.0
FL,Davie Police Department,26.103151,-80.28184,FL0061200,Davie,104782,12239,11.68,230,2116,219.5,2019.43,2238.93
FL,Sunrise Police Department,26.131817,-80.33324,FL0062700,Sunrise,96220,10334,10.74,0,0,0.0,0.0,0.0
FL,Boca Raton Police Department,26.35139,-80.08977,FL0500200,Boca Raton,95347,8437,8.85,161,1914,168.86,2007.4,2176.26
FL,Deerfield Beach Police Department,26.193535,-80.476683,FL0060200,Deerfield Beach,86062,13183,15.32,0,0,0.0,0.0,0.0
FL,Fort Myers Police Department,26.639778,-81.868385,FL0360100,Fort Myers,84694,13144,15.52,0,0,0.0,0.0,0.0
FL,Melbourne Police Department,28.298304,-80.700333,FL0050700,Melbourne,83500,11085,13.28,0,0,0.0,0.0,0.0
GA,Atlanta Police Department,33.74819,-84.39517,GAAPD0000,Atlanta,492204,84756,17.22,3543,19517,719.82,3965.23,4685.05
GA,Columbus Police Department,32.464756,-84.98599,GA1060100,Columbus,204366,38670,18.92,832,3317,407.11,1623.07,2030.18
GA,Athens-Clarke County Police Department,33.94101,-83.32669,GA0290100,Athens-Clarke County,126118,30535,24.21,560,3278,444.03,2599.15,3043.18
GA,Sandy Springs Police Department,33.925224,-84.359856,GA0605600,Sandy Springs,106605,6880,6.45,162,1826,151.96,1712.87,1864.83
GA,Roswell Police Department,34.021626,-84.35973,GA0600500,Roswell,92688,5600,6.04,172,1148,185.57,1238.56,1424.13
GA,Johns Creek Police Department,33.790034,-84.468182,GA0605800,Johns Creek,82068,2976,3.63,40,451,48.74,549.54,598.28
GA,Warner Robins Police Department,32.458381,-83.662856,GA0760200,Warner Robins,79589,9831,12.35,554,2962,696.08,3721.62,4417.7
GA,Albany Police Department,31.532588,-84.20904,GA0470100,Albany,70748,19121,27.03,662,1555,935.72,2197.94,3133.66
GA,Alpharetta Police Department,33.790034,-84.468182,GA0600400,Alpharetta,65187,2771,4.25,191,906,293.0,1389.85,1682.85
GA,Marietta Police Department,33.95526,-84.54541,GA0330300,Marietta,60962,7459,12.24,156,1015,255.9,1664.97,1920.87
GA,Smyrna Police Department,33.888607,-84.51593,GA0330400,Smyrna,55460,4680,8.44,164,909,295.71,1639.02,1934.73
GA,Valdosta Police Department,30.826075,-83.278145,GA0920100,Valdosta,55417,16548,29.86,69,344,124.51,620.75,745.26
GA,Dunwoody  Police Department,33.770661,-84.226343,GA0447100,Dunwoody,51103,3137,6.14,116,1877,226.99,3672.97,3899.97
GA,Gainesville Police Department,34.29682,-83.82664,GA0690100,Gainesville,41730,7842,18.79,174,1196,416.97,2866.04,3283.01
GA,East Point Police Department,33.681007,-84.44159,GA0600200,East Point,37895,8711,22.99,8,0,21.11,0.0,21.11
GA,Peachtree City Police Department,33.412717,-84.493941,GA0560200,Peachtree City,37867,2537,6.7,15,472,39.61,1246.47,1286.08
GA,Rome Police Department,34.169235,-85.21126,GA0570200,Rome,37509,8920,23.78,370,1506,986.43,4015.04,5001.47
GA,Hinesville Police Department,31.846628,-81.59546,GA0890100,Hinesville,34733,6534,18.81,184,690,529.76,1986.58,2516.34
GA,Douglasville Police Department,33.699317,-84.765944,GA0480100,Douglasville,34410,3828,11.12,185,1889,537.63,5489.68,6027.32
GA,Dalton Police Department,34.773823,-84.97399,GA1550100,Dalton,34255,6542,19.1,76,771,221.87,2250.77,2472.63
GA,Woodstock Police Department,34.08742,-84.47999,GA0280500,Woodstock,33857,1869,5.52,41,434,121.1,1281.86,1402.96
GA,Kennesaw Police Department,33.93994,-84.574166,GA0330600,Kennesaw,33036,4450,13.47,88,273,266.38,826.37,1092.75
GA,Statesboro Police Department,32.445255,-81.7862,GA0160100,Statesboro,32400,8916,27.52,128,883,395.06,2725.31,3120.37
GA,Canton Police Department,34.23541,-84.490005,GA0280100,Canton,32342,4839,14.96,57,283,176.24,875.02,1051.26
GA,Duluth Police Department,33.994205,-84.15061,GA0670500,Duluth,31506,2820,8.95,49,400,155.53,1269.6,1425.13
HI,Honolulu Police Department,21.304317,-157.85077,HI0020000,Honolulu,50076,1643,3.28,1840,19393,3674.41,38727.13,42401.55
IA,Des Moines Police Department,41.684281,-93.56972,IA0770300,Des Moines,213545,31926,14.95,1483,7097,694.47,3323.42,4017.89
IA,Cedar Rapids Police Department,41.975834,-91.66754,IA0570100,Cedar Rapids,136512,14967,10.96,408,3929,298.87,2878.14,3177.01
IA,Davenport Police Department,41.523746,-90.57706,IA0820200,Davenport,101725,15593,15.33,692,3837,680.27,3771.93,4452.2
IA,Iowa City Police Department,41.660053,-91.52996,IA0520200,Iowa City,74240,18379,24.76,267,1441,359.64,1941.0,2300.65
IA,Waterloo Police Department,42.499016,-92.33279,IA0070300,Waterloo,67695,10990,16.23,381,1396,562.82,2062.19,2625.01
IA,West Des Moines Police Department,41.684281,-93.56972,IA0770500,West Des Moines,67640,4473,6.61,125,1583,184.8,2340.33,2525.13
IA,Ankeny Police Department,41.684281,-93.56972,IA0770100,Ankeny,66346,2764,4.17,100,891,150.72,1342.96,1493.68
IA,Ames Police Department,42.037538,-93.466093,IA0850100,Ames,65522,14367,21.93,114,932,173.99,1422.42,1596.41
IA,Council Bluffs Police Department,41.340184,-95.544905,IA0780100,Council Bluffs,62617,7687,12.28,281,1918,448.76,3063.07,3511.83
IA,Dubuque Police Department,42.500935,-90.66581,IA0310100,Dubuque,59379,6929,11.67,250,957,421.02,1611.68,2032.71
IA,Urbandale Police Department,41.628784,-93.73656,IA0770400,Urbandale,45037,2615,5.81,62,333,137.66,739.39,877.06
IA,Marion Police Department,42.035267,-91.57182,IA0570200,Marion,41023,2899,7.07,98,267,238.89,650.85,889.74
IA,Cedar Falls Police Department,42.53667,-92.4481,IA0070100,Cedar Falls,40500,6328,15.62,0,0,0.0,0.0,0.0
IA,Bettendorf Police Department,41.52522,-90.50928,IA0820100,Bettendorf,38631,2766,7.16,43,439,111.31,1136.39,1247.7
IA,Marshalltown Police Department,42.04948,-92.91297,IA0640100,Marshalltown,27570,3840,13.93,127,546,460.65,1980.41,2441.06
IA,Mason City Police Department,43.15112,-93.19622,IA0170200,Mason City,27385,2912,10.63,54,807,197.19,2946.87,3144.06
IA,Ottumwa Police Department,41.016605,-92.40911,IA0900100,Ottumwa,25379,3942,15.53,101,767,397.97,3022.18,3420.15
IA,Fort Dodge Police Department,42.50398,-94.18832,IA0940100,Fort Dodge,24826,4074,16.41,168,823,676.71,3315.07,3991.78
IA,Clinton Police Department,41.898073,-90.534243,IA0230100,Clinton,24651,4274,17.34,192,639,778.87,2592.19,3371.06
IA,Burlington Police Department,40.811058,-91.10232,IA0290100,Burlington,24160,4277,17.7,129,535,533.94,2214.4,2748.34
IA,Muscatine Police Department,41.42498,-91.04574,IA0700100,Muscatine,23759,3660,15.4,73,275,307.25,1157.46,1464.71
IA,Waukee Police Department,41.685321,-94.040707,IA0250400,Waukee,23441,1122,4.79,49,257,209.04,1096.37,1305.41
IA,Johnston Police Department,41.684281,-93.56972,IA0770700,Johnston,23418,2263,9.66,26,173,111.03,738.75,849.77
IA,Coralville Police Department,41.668736,-91.588812,IA0520100,Coralville,22226,2033,9.15,33,544,148.47,2447.58,2596.06
IA,North Liberty Police Department,41.668736,-91.588812,IA0520500,North Liberty,19976,902,4.52,25,60,125.15,300.36,425.51
ID,Boise Police Department,43.60671,-116.26885,ID0010100,Boise,231537,26411,11.41,639,2977,275.98,1285.76,1561.74
ID,Meridian Police Department,43.451477,-116.244376,ID0010300,Meridian,115227,7827,6.79,223,676,193.53,586.67,780.2
ID,Nampa Police Department,43.623051,-116.708527,ID0140200,Nampa,98881,12483,12.62,426,994,430.82,1005.25,1436.07
ID,Idaho Falls Police Department,43.395171,-111.621878,ID0100200,Idaho Falls,64399,7980,12.39,215,970,333.86,1506.23,1840.09
ID,Caldwell Police Department,43.667896,-116.69103,ID0140100,Caldwell,58872,6978,11.85,275,520,467.12,883.27,1350.39
ID,Pocatello Police Department,42.692938,-112.228986,ID0030200,Pocatello,55865,7748,13.87,210,819,375.91,1466.03,1841.94
ID,Coeur d'Alene Police Department,47.715008,-116.80246,ID0280100,Coeur d'Alene,53189,5409,10.17,172,609,323.38,1144.97,1468.35
ID,Twin Falls Police Department,42.352309,-114.665639,ID0420200,Twin Falls,51223,6860,13.39,218,857,425.59,1673.08,2098.67
ID,Post Falls Police Department,47.714752,-116.92871,ID0280200,Post Falls,38162,4533,11.88,64,429,167.71,1124.15,1291.86
ID,Lewiston Police Department,46.4178,-117.01638,ID0350200,Lewiston,33964,5018,14.77,44,453,129.55,1333.77,1463.31
ID,Rexburg Police Department,43.789709,-111.65655,ID0330100,Rexburg,33684,11131,33.05,22,120,65.31,356.25,421.57
ID,Moscow Police Department,46.73173,-117.00105,ID0290500,Moscow,25336,4707,18.58,4,394,15.79,1555.1,1570.89
ID,Mountain Home Police Department,43.394677,-115.471204,ID0200200,Mountain Home,15863,2349,14.81,45,95,283.68,598.88,882.56
ID,Chubbuck Police Department,42.692938,-112.228986,ID0030100,Chubbuck,15445,1328,8.6,52,510,336.68,3302.04,3638.72
ID,Jerome Police Department,42.723957,-114.51839,ID0270100,Jerome,12182,2192,17.99,30,91,246.26,747.0,993.27
ID,Blackfoot Police Department,43.216357,-112.399206,ID0060200,Blackfoot,12106,1625,13.42,48,128,396.5,1057.33,1453.82
ID,Garden City Police Department,43.643784,-116.26528,ID0010200,Garden City,12056,1362,11.3,88,217,729.93,1799.93,2529.86
ID,Rathdrum Police Department,47.810562,-116.89777,ID0280500,Rathdrum,9099,581,6.39,8,97,87.92,1066.05,1153.97
ID,Hailey Police Department,43.51983,-114.31555,ID0070300,Hailey,9001,1085,12.05,32,55,355.52,611.04,966.56
ID,Sandpoint Police Department,48.272057,-116.56282,ID0090200,Sandpoint,8448,1146,13.57,6,145,71.02,1716.38,1787.41
ID,Payette Police Department,44.0748,-116.9365,ID0380300,Payette,7999,1023,12.79,39,69,487.56,862.61,1350.17
ID,Emmett Police Department,44.061473,-116.398784,ID0230100,Emmett,7408,1115,15.05,38,50,512.96,674.95,1187.9
ID,Rupert Police Department,42.856937,-113.64001,ID0340100,Rupert,5994,1694,28.26,32,47,533.87,784.12,1317.98
ID,Fruitland Police Department,44.00274,-116.748655,ID0380100,Fruitland,5903,725,12.28,7,47,118.58,796.21,914.79
ID,Weiser Police Department,44.24683,-116.965866,ID0440100,Weiser,5578,912,16.35,10,11,179.28,197.2,376.48
IL,Chicago Police Department,41.830837,-87.62327,ILCPD0000,Chicago,2742119,459412,16.75,15948,90369,581.59,3295.59,3877.18
IL,Aurora Police Department,41.78237,-88.28631,IL0450100,Aurora,183447,18697,10.19,549,1954,299.27,1065.16,1364.43
IL,Joliet Police Department,41.523937,-88.085075,IL0990700,Joliet,150323,15835,10.53,609,1509,405.13,1003.84,1408.97
IL,Naperville Police Department,41.766403,-88.17647,IL0221400,Naperville,149013,5818,3.9,96,1291,64.42,866.37,930.79
IL,Rockford Police Department,42.272087,-89.09654,IL1010400,Rockford,148942,31966,21.46,1677,3982,1125.94,2673.52,3799.47
IL,Springfield Police Department,39.799377,-89.645,IL0840200,Springfield,114672,20549,17.92,896,5383,781.36,4694.26,5475.62
IL,Elgin Police Department,42.039604,-88.28398,IL0450600,Elgin,114156,10689,9.36,254,1001,222.5,876.87,1099.37
IL,Waukegan Police Department,42.36095,-87.83479,IL0492100,Waukegan,89751,13270,14.79,319,981,355.43,1093.02,1448.45
IL,Champaign Police Department,40.116344,-88.23911,IL0100100,Champaign,88343,18920,21.42,381,1631,431.27,1846.21,2277.49
IL,Cicero Police Department,41.844807,-87.74826,IL0162100,Cicero,84905,11418,13.45,207,992,243.8,1168.36,1412.17
IL,Evanston Police Department,42.044216,-87.68356,IL0163200,Evanston,78454,8473,10.8,125,2337,159.33,2978.82,3138.14
IL,Bloomington Police Department,40.494559,-88.844539,IL0570100,Bloomington,78372,10269,13.1,0,0,0.0,0.0,0.0
IL,Schaumburg Police Department,42.026466,-88.102936,IL0162A00,Schaumburg,78053,4649,5.96,68,1536,87.12,1967.89,2055.01
IL,Arlington Heights Police Department,42.081783,-87.98046,IL0160200,Arlington Heights,77283,3615,4.68,62,704,80.22,910.94,991.16
IL,Bolingbrook Police Department,41.698147,-88.081726,IL0990200,Bolingbrook,73807,5807,7.87,162,661,219.49,895.58,1115.07
IL,Decatur Police Department,39.83924,-88.95295,IL0580200,Decatur,71309,13404,18.8,470,1795,659.1,2517.21,3176.32
IL,Palatine Police Department,42.114235,-88.09946,IL0168400,Palatine,67754,7493,11.06,74,609,109.22,898.84,1008.06
IL,Skokie Police Department,42.01612,-87.76066,IL0164A00,Skokie,67444,6110,9.06,132,1688,195.72,2502.82,2698.54
IL,Des Plaines Police Department,42.042133,-87.888695,IL0162500,Des Plaines,60413,4763,7.88,77,502,127.46,830.95,958.4
IL,Orland Park Police Department,41.894294,-87.645455,IL0168300,Orland Park,58622,2897,4.94,22,534,37.53,910.92,948.45
IL,Oak Lawn Police Department,41.721596,-87.75278,IL0168000,Oak Lawn,58032,5809,10.01,76,873,130.96,1504.34,1635.3
IL,Berwyn Police Department,41.836037,-87.787445,IL0160900,Berwyn,56960,6570,11.53,81,391,142.21,686.45,828.65
IL,Mount Prospect Police Department,42.062946,-87.93516,IL0167200,Mount Prospect,56510,2618,4.63,56,547,99.1,967.97,1067.07
IL,Tinley Park Police Department,41.558353,-87.80897,IL0165M00,Tinley Park,55988,3000,5.36,56,614,100.02,1096.66,1196.69
IL,Oak Park Police Department,41.894294,-87.645455,IL0168100,Oak Park,54100,3587,6.63,155,1729,286.51,3195.93,3482.44
IN,Indianapolis Police Department,39.76786,-86.15264,INIPD0000,Indianapolis,880104,141489,16.08,9153,32445,1039.99,3686.5,4726.49
IN,Fort Wayne Police Department,41.091855,-85.07223,IN0020100,Fort Wayne,262676,39836,15.17,732,6390,278.67,2432.65,2711.32
IN,Evansville Police Department,37.97335,-87.568,IN0820100,Evansville,117184,22459,19.17,1307,4237,1115.34,3615.68,4731.02
IN,South Bend Police Department,41.665035,-86.259445,IN0710200,South Bend,102786,20996,20.43,1245,2621,1211.25,2549.96,3761.21
IN,Carmel Police Department,40.04987,-86.020586,IN0290100,Carmel,98137,2967,3.02,61,863,62.16,879.38,941.54
IN,Fishers Police Department,39.958286,-86.01655,IN0290700,Fishers,97154,2746,2.83,105,630,108.08,648.46,756.53
IN,Bloomington Police Department,39.164577,-86.53207,IN0530100,Bloomington,80064,20923,26.13,315,1980,393.44,2473.02,2866.46
IN,Hammond Police Department,41.614895,-87.51721,IN0450700,Hammond,77491,16194,20.9,503,2576,649.11,3324.26,3973.36
IN,Lafayette Police Department,40.41753,-86.89064,IN0790100,Lafayette,70928,11728,16.54,364,1537,513.2,2166.99,2680.18
IN,Gary Police Department,41.601505,-87.34981,IN0450500,Gary,69739,22142,31.75,606,1937,868.95,2777.5,3646.45
IN,Noblesville Police Department,40.044323,-86.013504,IN0290200,Noblesville,68885,3551,5.15,78,446,113.23,647.46,760.69
IN,Muncie Police Department,40.195507,-85.38763,IN0180100,Muncie,65571,17866,27.25,287,1847,437.69,2816.79,3254.49
IN,Greenwood Police Department,39.61119,-86.103516,IN0410300,Greenwood,62914,4701,7.47,79,1249,125.57,1985.25,2110.82
IN,Kokomo Police Department,40.486435,-86.12997,IN0340100,Kokomo,59263,8424,14.21,325,1005,548.4,1695.83,2244.23
IN,Anderson Police Department,40.105686,-85.67817,IN0480200,Anderson,54459,11502,21.12,235,1629,431.52,2991.24,3422.76
IN,Elkhart Police Department,41.684654,-85.96748,IN0200100,Elkhart,53838,10401,19.32,636,1685,1181.32,3129.76,4311.08
IN,Mishawaka Police Department,41.66217,-86.17931,IN0710100,Mishawaka,50823,8630,16.98,127,1058,249.89,2081.73,2331.62
IN,Columbus Police Department,39.199764,-85.92089,IN0030100,Columbus,50718,5837,11.51,10,62,19.72,122.24,141.96
IN,Jeffersonville Police Department,38.476217,-85.711122,IN0100300,Jeffersonville,49178,5540,11.27,140,943,284.68,1917.52,2202.2
IN,Lawrence Police Department,39.782976,-86.135794,IN0490200,Lawrence,49048,5232,10.67,156,1115,318.06,2273.28,2591.34
IN,Westfield Police Department,40.04237,-86.154106,IN0290400,Westfield,45695,2113,4.62,41,502,89.73,1098.59,1188.31
IN,West Lafayette Police Department,40.410015,-86.85338,IN0790200,West Lafayette,44515,11108,24.95,28,536,62.9,1204.09,1266.99
IN,Portage Police Department,41.50992,-87.071309,IN0640200,Portage,37540,5137,13.68,87,408,231.75,1086.84,1318.59
IN,New Albany Police Department,38.284374,-85.824684,IN0220100,New Albany,37350,6294,16.85,110,1153,294.51,3087.01,3381.53
IN,Merrillville Police Department,41.4781,-87.336006,IN0451400,Merrillville,36196,4684,12.94,0,0,0.0,0.0,0.0
KS,Wichita Police Department,37.692635,-97.33823,KS0870300,Wichita,394574,59249,15.02,4478,18809,1134.89,4766.91,5901.81
KS,Overland Park Police Department,38.903667,-94.6714,KS0460600,Overland Park,195249,7914,4.05,402,4460,205.89,2284.26,2490.15
KS,Park City Police Department,37.681045,-97.461054,KS0871600,Park City,195249,7914,4.05,49,309,25.1,158.26,183.36
KS,Olathe Police Department,38.86768,-94.82552,KS0460500,Olathe,140339,8344,5.95,348,1714,247.97,1221.33,1469.3
KS,Topeka Police Department,39.055595,-95.6716,KS0890100,Topeka,126802,18704,14.75,1207,5117,951.88,4035.43,4987.3
KS,Lawrence Police Department,38.963764,-95.23475,KS0230100,Lawrence,94745,16710,17.64,151,752,159.38,793.71,953.08
KS,Shawnee Police Department,39.02212,-94.77992,KS0460900,Shawnee,67021,3926,5.86,151,995,225.3,1484.61,1709.91
KS,Lenexa Police Department,38.971035,-94.73084,KS0461000,Lenexa,56755,2872,5.06,122,864,214.96,1522.33,1737.29
KS,Salina Police Department,38.836975,-97.61358,KS0850100,Salina,46896,5504,11.74,244,1349,520.3,2876.58,3396.88
KS,Hutchinson Police Department,38.053444,-97.93571,KS0780100,Hutchinson,40202,4923,12.25,164,915,407.94,2276.01,2683.95
KS,Leavenworth Police Department,39.314144,-94.91131,KS0520100,Leavenworth,37216,4458,11.98,256,871,687.88,2340.39,3028.27
KS,Leawood Police Department,38.954098,-94.615425,KS0460200,Leawood,33748,676,2.0,34,628,100.75,1860.85,1961.6
KS,Garden City Police Department,38.049855,-100.739929,KS0280100,Garden City,28022,3757,13.41,161,705,574.55,2515.88,3090.43
KS,Dodge City Police Department,37.688365,-99.884734,KS0290100,Dodge City,27899,3814,13.67,102,367,365.6,1315.46,1681.06
KS,Derby Police Department,37.545734,-97.27021,KS0870100,Derby,25365,1775,7.0,15,101,59.14,398.19,457.32
KS,Emporia Police Department,38.455498,-96.161589,KS0560100,Emporia,24220,4126,17.04,94,615,388.11,2539.22,2927.33
KS,Gardner Police Department,38.883907,-94.82233,KS0461200,Gardner,23065,1342,5.82,53,180,229.79,780.4,1010.19
KS,Junction City Police Department,39.031418,-96.82725,KS0310100,Junction City,23033,3766,16.35,162,677,703.34,2939.26,3642.6
KS,Prairie Village Police Department,38.989285,-94.6304,KS0460700,Prairie Village,22812,1005,4.41,22,263,96.44,1152.9,1249.34
KS,Hays Police Department,38.872814,-99.33015,KS0260100,Hays,20870,3490,16.72,27,123,129.37,589.36,718.74
KS,Pittsburg Police Department,37.505628,-94.853941,KS0190100,Pittsburg,20667,5558,26.89,72,824,348.38,3987.03,4335.41
KS,Liberal Police Department,37.180585,-100.854741,KS0880100,Liberal,19340,2622,13.56,60,209,310.24,1080.66,1390.9
KS,Newton Police Department,38.051147,-97.34464,KS0400100,Newton,18576,1945,10.47,132,365,710.59,1964.9,2675.5
KS,Andover Police Department,37.773649,-96.83884,KS0080500,Andover,15162,611,4.03,9,189,59.36,1246.54,1305.9
KS,Great Bend Police Department,38.36352,-98.76655,KS0050200,Great Bend,14864,2444,16.44,62,235,417.12,1581.0,1998.12
KY,Lexington Police Department,38.045673,-84.496284,KY0340200,Lexington,321354,48501,15.09,812,8827,252.68,2746.82,2999.5
KY,Bowling Green Police Department,36.995796,-86.44383,KY1140100,Bowling Green,71422,16449,23.03,184,2235,257.62,3129.29,3386.91
KY,Owensboro Police Department,37.731671,-87.087139,KY0300100,Owensboro,59839,11654,19.48,187,1956,312.51,3268.77,3581.28
KY,Covington Police Department,38.930477,-84.533492,KY0590100,Covington,40930,9556,23.35,122,780,298.07,1905.69,2203.76
KY,Georgetown Police Department,38.289882,-84.579376,KY1050100,Georgetown,36281,4271,11.77,50,521,137.81,1436.01,1573.83
KY,Richmond Police Department,37.723528,-84.277008,KY0760200,Richmond,34662,7339,21.17,86,913,248.11,2634.01,2882.12
KY,Florence Police Department,38.996952,-84.6432,KY0080200,Florence,31699,2401,7.57,45,1454,141.96,4586.9,4728.86
KY,Elizabethtown Police Department,37.687885,-85.86853,KY0470100,Elizabethtown,31066,3594,11.57,44,297,141.63,956.03,1097.66
KY,Nicholasville Police Department,37.885975,-84.570656,KY0570100,Nicholasville,31066,4564,14.69,40,545,128.76,1754.33,1883.09
KY,Hopkinsville Police Department,36.870354,-87.486595,KY0240100,Hopkinsville,30771,5915,19.22,112,966,363.98,3139.32,3503.3
KY,Frankfort Police Department,38.234919,-84.868786,KY0370100,Frankfort,28479,4416,15.51,66,596,231.75,2092.77,2324.52
KY,Independence Police Department,38.933533,-84.544464,KY0591900,Independence,28256,2182,7.72,21,98,74.32,346.83,421.15
KY,Henderson Police Department,37.792542,-87.572577,KY0510100,Henderson,28201,5415,19.2,80,646,283.68,2290.7,2574.38
KY,Paducah Police Department,37.053683,-88.712366,KY0730100,Paducah,26248,5699,21.71,89,773,339.07,2944.99,3284.06
KY,Radcliff Police Department,37.838306,-85.94496,KY0470200,Radcliff,22839,4077,17.85,54,462,236.44,2022.86,2259.29
KY,Ashland Police Department,38.360004,-82.681406,KY0100100,Ashland,21695,4901,22.59,42,614,193.59,2830.15,3023.74
KY,Madisonville Police Department,37.32837,-87.50038,KY0540100,Madisonville,19533,4255,21.78,23,165,117.75,844.72,962.47
KY,Erlanger Police Department,39.023567,-84.60823,KY0590300,Erlanger,19506,2052,10.52,28,82,143.55,420.38,563.93
KY,Winchester Police Department,37.970133,-84.144974,KY0250100,Winchester,18993,3659,19.26,52,576,273.79,3032.7,3306.48
KY,Mount Washington Police Department,37.969572,-85.703036,KY0150300,Mount Washington,17723,1269,7.16,9,107,50.78,603.74,654.52
KY,St. Matthews Police Department,38.249447,-85.65038,KY0560300,St. Matthews,17588,1381,7.85,25,837,142.14,4758.93,4901.07
KY,Murray Police Department,36.60865,-88.302155,KY0180100,Murray,17241,3105,18.01,18,314,104.4,1821.24,1925.64
KY,Fort Thomas Police Department,39.080936,-84.449165,KY0190400,Fort Thomas,17241,1001,5.81,8,97,46.4,562.61,609.01
KY,Danville Police Department,37.618104,-84.868352,KY0110100,Danville,17164,2638,15.37,30,267,174.78,1555.58,1730.37
KY,Shelbyville Police Department,38.21079,-85.212906,KY1060100,Shelbyville,16932,1642,9.7,21,206,124.03,1216.63,1340.66
LA,New Orleans Police Department,29.960224,-90.09213,LANPD0000,New Orleans,383974,88675,23.09,4962,18536,1292.27,4827.41,6119.69
LA,Baton Rouge Police Department,30.544002,-91.093174,LA0170200,Baton Rouge,225539,53100,23.54,2204,12126,977.21,5376.45,6353.67
LA,Shreveport Police Department,32.501125,-93.754555,LA0090100,Shreveport,189374,45297,23.92,1324,7916,699.15,4180.09,4879.23
LA,Lafayette Police Department,30.206507,-92.06417,LA0280300,Lafayette,122469,23039,18.81,993,5586,810.82,4561.15,5371.97
LA,Lake Charles Police Department,30.229559,-93.358015,LA0100200,Lake Charles,83444,16881,20.23,486,2247,582.43,2692.82,3275.25
LA,Kenner Police Department,29.677888,-90.100494,LA0260300,Kenner,66411,10251,15.44,203,2026,305.67,3050.7,3356.37
LA,Bossier City Police Department,32.696225,-93.618086,LA0080100,Bossier City,63168,12259,19.41,571,2869,903.94,4541.86,5445.8
LA,Monroe Police Department,32.477664,-92.154848,LA0370100,Monroe,48105,15676,32.59,977,2811,2030.97,5843.47,7874.44
LA,Alexandria Police Department,31.193204,-92.535953,LA0400100,Alexandria,45736,11997,26.23,857,2783,1873.8,6084.92,7958.72
LA,Houma Police Department,29.333258,-90.844212,LA0550100,Houma,33461,6480,19.37,189,1099,564.84,3284.42,3849.26
LA,New Iberia Police Department,30.00271,-91.81355,LA0230300,New Iberia,28844,7910,27.42,0,0,0.0,0.0,0.0
LA,Slidell Police Department,30.274563,-89.78045,LA0520200,Slidell,28537,3962,13.88,89,744,311.88,2607.14,2919.02
LA,Ruston Police Department,32.601823,-92.662303,LA0310200,Ruston,22286,7266,32.6,144,888,646.15,3984.56,4630.71
LA,Hammond Police Department,30.621581,-90.406633,LA0530100,Hammond,19374,6088,31.42,0,0,0.0,0.0,0.0
LA,Zachary Police Department,30.544002,-91.093174,LA0170300,Zachary,19278,1129,5.86,69,449,357.92,2329.08,2687.0
LA,Natchitoches Police Department,31.734982,-93.086106,LA0350100,Natchitoches,18105,6232,34.42,0,0,0.0,0.0,0.0
LA,Gretna Police Department,29.677888,-90.100494,LA0260100,Gretna,17836,3874,21.72,80,633,448.53,3549.0,3997.53
LA,Opelousas Police Department,30.53644,-92.08239,LA0490200,Opelousas,15884,5705,35.92,258,887,1624.28,5584.24,7208.51
LA,Thibodaux Police Department,29.491992,-90.394849,LA0290500,Thibodaux,15242,2515,16.5,56,425,367.41,2788.35,3155.75
LA,Youngsville Police Department,30.206507,-92.06417,LA0280500,Youngsville,15167,889,5.86,0,0,0.0,0.0,0.0
LA,Pineville Police Department,31.324041,-92.43274,LA0400200,Pineville,14653,2050,13.99,0,0,0.0,0.0,0.0
LA,West Monroe Police Department,32.520428,-92.14767,LA0370200,West Monroe,13103,3766,28.74,169,735,1289.78,5609.4,6899.18
LA,Broussard Police Department,30.147108,-91.96057,LA0280100,Broussard,12960,2111,16.29,25,285,192.9,2199.07,2391.98
LA,Baker Police Department,30.589071,-91.165436,LA0170100,Baker,12736,1883,14.78,47,215,369.03,1688.13,2057.16
LA,Minden Police Department,32.732152,-93.339825,LA0600100,Minden,12145,3753,30.9,0,0,0.0,0.0,0.0
MA,Boston Police Department,42.33196,-71.020173,MA0130100,Boston,672814,110995,16.5,4034,12526,599.57,1861.73,2461.3
MA,Worcester Police Department,42.27213,-71.79874,MA0146000,Worcester,203867,36633,17.97,729,1470,357.59,721.06,1078.64
