State,Agency Name,Latitude,Longitude,ORI,City,Population,Poverty,Poverty Rate
MO,O'Fallon Police Department,38.802345,-90.62706,MO0920100,O'Fallon,90802.0,4546.0,5.01
MO,St. Joseph Police Department,39.76904,-94.85424,MO0110100,St. Joseph,73138.0,11967.0,16.36
MO,St. Charles Police Department,38.774826,-90.527084,MO0920300,St. Charles,70218.0,4044.0,5.76
MO,Blue Springs Police Department,39.017525,-94.27792,MO0480100,Blue Springs,58265.0,3260.0,5.6
MO,St. Peters Police Department,38.781102,-90.674915,MO0920400,St. Peters,57289.0,2094.0,3.66
MO,Florissant Police Department,38.79943,-90.317116,MO0953000,Florissant,52382.0,5461.0,10.43
MO,Joplin Police Department,37.088596,-94.51099,MO0490700,Joplin,51539.0,8806.0,17.09
MO,Chesterfield Police Department,38.640702,-90.445954,MO0959A00,Chesterfield,49675.0,1896.0,3.82
MO,Wentzville Police Department,38.781102,-90.674915,MO0920500,Wentzville,43213.0,1900.0,4.4
MO,Jefferson City Police Department,38.574104,-92.171036,MO0260100,Jefferson City,43076.0,4827.0,11.21
MO,Cape Girardeau Police Department,37.3036,-89.52708,MO0160100,Cape Girardeau,39415.0,8104.0,20.56
MO,University City Police Department,38.65647,-90.309975,MO0957300,University City,34953.0,4786.0,13.69
MO,Ballwin Police Department,38.640702,-90.445954,MO0950200,Ballwin,30998.0,1761.0,5.68
MO,Liberty Police Department,39.2461,-94.41923,MO0240600,Liberty,30129.0,2216.0,7.36
MO,Raytown Police Department,39.015877,-94.463005,MO0481000,Raytown,29893.0,2565.0,8.58
MO,Kirkwood Police Department,38.602047,-90.35826,MO0954300,Kirkwood,29233.0,1603.0,5.48
MO,Maryland Heights Police Department,38.714573,-90.43463,MO0950H00,Maryland Heights,28141.0,1675.0,5.95
MO,Gladstone Police Department,39.00026,-94.57986,MO0240400,Gladstone,26825.0,2768.0,10.32
MO,Grandview Police Department,38.889206,-94.53133,MO0480400,Grandview,25931.0,3583.0,13.82
MS,Jackson Police Department,32.29755,-90.184235,MS0250100,Jackson,156803.0,39261.0,25.04
MS,Gulfport Police Department,30.369255,-89.08911,MS0240200,Gulfport,72468.0,18014.0,24.86
MS,Southaven Police Department,34.874266,-89.99324,MS0170100,Southaven,54141.0,6496.0,12.0
MS,Biloxi Police Department,30.398106,-88.90185,MS0240100,Biloxi,49061.0,6878.0,14.02
MS,Hattiesburg Police Department,31.18858,-89.259447,MS0180100,Hattiesburg,47074.0,14098.0,29.95
MS,Olive Branch Police Department,34.874266,-89.99324,MS0170200,Olive Branch,39136.0,2836.0,7.25
MS,Tupelo Police Department,34.288965,-88.680887,MS0410100,Tupelo,37872.0,5249.0,13.86
MS,Meridian Police Department,32.363552,-88.70209,MS0380100,Meridian,35625.0,10463.0,29.37
MS,Greenville Police Department,33.273131,-90.94443,MS0760100,Greenville,30175.0,9595.0,31.8
MS,Clinton Police Department,32.339264,-90.32945,MS0250300,Clinton,27830.0,2471.0,8.88
MS,Madison Police Department,32.63437,-90.03416,MS0450400,Madison,27459.0,1278.0,4.65
MS,Pearl Police Department,32.274925,-90.1317,MS0610200,Pearl,27017.0,2757.0,10.2
MS,Horn Lake Police Department,34.96262,-90.04809,MS0170400,Horn Lake,26623.0,3872.0,14.54
MS,Oxford Police Department,34.374596,-89.52693,MS0360100,Oxford,25859.0,7336.0,28.37
MS,Brandon Police Department,32.262057,-89.946552,MS0610100,Brandon,24887.0,1157.0,4.65
MS,Starkville Police Department,33.46273,-88.81639,MS0530100,Starkville,24578.0,6680.0,27.18
MS,Ridgeland Police Department,32.63437,-90.03416,MS0450200,Ridgeland,24330.0,1650.0,6.78
